type,duration_s,fps,width,height,total_frames,pixels_per_frame_M,bitrate_kbps,cpu_true,mem_true
video,5,15,320,240,75,0.0768,200,8,40
video,10,24,640,360,240,0.2304,500,12,55
video,30,30,854,480,900,0.4099,1000,25,80
video,30,30,1280,720,900,0.9216,2500,40,130
video,60,30,1920,1080,1800,2.0736,5000,80,250
video,120,24,1920,1080,2880,2.0736,8000,150,450
video,60,60,3840,2160,3600,8.2944,30000,250,700
video,600,24,1920,1080,14400,2.0736,8000,500,1200
video,30,30,640,360,900,0.2304,300,10,45
video,10,30,3840,2160,300,8.2944,50000,180,500
video,549.3,15,854,752,8239.808678124835,0.6422,1311.0,1300.72,2764.93
video,296.6,60,160,136,17797.472169817633,0.0218,23393.0,561.88,1461.39
video,387.2,30,1280,704,11617.33747308825,0.9011,28353.0,872.64,2007.82
video,392.8,30,320,256,11782.905155002143,0.0819,28938.0,746.79,1612.49
video,184.8,15,854,497,2771.684650392032,0.4244,46508.0,369.48,912.04
video,59.6,15,1920,1823,893.3596828498331,3.5002,36850.0,154.66,620.43
video,405.4,25,1280,1073,10136.182805250497,1.3734,25460.0,948.7,2038.83
video,549.3,60,320,261,32958.04908149043,0.0835,11579.0,1290.35,3160.86
video,157.7,24,854,654,3784.2625084281776,0.5585,49405.0,293.6,947.73
video,395.1,15,320,198,5925.869628193547,0.0634,31108.0,815.99,1790.17
video,271.5,60,160,105,16288.863342975694,0.0168,14590.0,576.69,1143.34
video,409.4,30,1280,984,12280.941944392456,1.2595,32031.0,760.0,2157.72
video,544.3,15,854,623,8164.825671257612,0.532,35689.0,982.56,2869.27
video,528.2,60,1920,1529,31691.167275562868,2.9357,37559.0,983.16,2868.33
video,544.5,30,160,154,16336.33221798076,0.0246,9502.0,854.26,2892.91
video,56.0,15,160,112,839.2877241070137,0.0179,26387.0,105.74,277.08
video,498.3,25,1280,1198,12457.338893002903,1.5334,32494.0,1209.3,2794.74
video,349.0,60,1920,1145,20937.66799015985,2.1984,10437.0,897.88,1887.36
video,593.8,60,640,481,35628.32398336525,0.3078,22697.0,1210.36,2915.12
video,98.2,15,1920,1515,1472.384542290623,2.9088,34703.0,263.53,711.81
video,545.7,25,640,469,13642.152435645818,0.3002,8238.0,1164.04,2755.6
video,349.3,60,3840,3283,20959.744385728725,12.6067,32758.0,1315.16,2670.37
video,31.4,25,7680,5863,784.0403152509832,45.0278,26730.0,1043.45,3571.31
video,314.9,15,320,171,4723.56313961767,0.0547,49512.0,562.28,1563.29
video,520.8,60,1920,1120,31249.88272529132,2.1504,3912.0,1215.94,3105.31
video,395.4,24,1280,668,9490.709758869838,0.855,11800.0,740.66,2108.33
video,47.3,15,1920,1190,709.5341313224388,2.2848,13303.0,127.43,418.94
video,157.1,15,7680,3983,2356.0335215719274,30.5894,39468.0,646.52,3542.6
video,491.2,15,1920,986,7368.06301718606,1.8931,11282.0,1101.35,2908.17
video,216.5,30,3840,2612,6495.626963018004,10.0301,40588.0,642.7,2258.25
video,586.4,30,854,515,17591.83608382927,0.4398,45251.0,1285.17,3234.85
video,93.6,24,160,112,2247.386344321409,0.0179,3707.0,160.35,422.99
video,591.7,25,3840,2931,14791.609910529669,11.255,36268.0,1313.6,4193.34
video,107.1,15,160,93,1606.8374855070047,0.0149,37999.0,183.98,730.61
video,323.8,25,854,836,8095.972254140061,0.7139,48902.0,652.18,1719.45
video,450.8,24,854,850,10819.636998814274,0.7259,24752.0,1025.33,2132.49
video,74.6,15,640,609,1118.6385662797038,0.3898,1904.0,194.55,495.48
video,214.5,25,1920,1139,5362.31105215511,2.1869,2083.0,400.45,1371.96
video,107.6,24,1280,1086,2583.4506332288693,1.3901,30007.0,249.88,579.54
video,57.8,24,1280,777,1388.025350857576,0.9946,17461.0,156.34,464.48
video,513.0,60,160,110,30782.184129655005,0.0176,22741.0,1095.16,2491.29
video,320.2,60,7680,4193,19213.352567901533,32.2022,7148.0,2441.88,4061.66
video,273.9,24,320,170,6574.099840754292,0.0544,2669.0,687.7,1304.35
video,25.5,30,640,591,766.1494032813562,0.3782,39758.0,57.59,192.71
video,439.1,15,854,530,6585.892005839752,0.4526,40421.0,751.85,1938.94
video,335.0,24,160,152,8040.030039723103,0.0243,3002.0,674.67,1825.21
video,128.9,60,7680,7149,7734.141311894872,54.9043,7193.0,3623.76,4986.35
video,276.9,25,320,229,6922.31891419849,0.0733,28683.0,573.75,1331.27
video,193.1,30,3840,2590,5791.778899117925,9.9456,32444.0,575.42,1794.52
video,235.2,24,3840,3523,5644.656885679777,13.5283,46122.0,926.94,2258.37
video,217.8,30,160,139,6533.465140061284,0.0222,2857.0,396.09,1095.45
video,481.0,24,320,193,11542.80763888362,0.0618,40825.0,989.75,2324.74
video,528.1,25,1920,1725,13202.472023795897,3.312,21713.0,1182.39,2997.65
video,353.6,30,1920,1445,10609.467638366314,2.7744,46395.0,842.23,2102.91
video,190.7,25,160,80,4767.535875545714,0.0128,2743.0,460.76,833.58
video,434.9,25,7680,4228,10873.454995626562,32.471,1331.0,1630.84,4631.37
video,237.6,30,640,511,7127.553124886838,0.327,12223.0,465.75,1291.5
video,378.4,24,1280,819,9082.572147415483,1.0483,3264.0,800.51,1901.77
video,194.2,25,1920,988,4854.548511483047,1.897,37259.0,376.15,945.27
video,502.7,24,640,442,12064.308764778747,0.2829,13628.0,1004.62,2525.83
video,571.4,24,160,108,13714.432633535893,0.0173,28485.0,1282.69,2434.91
video,208.5,30,320,224,6253.50666832405,0.0717,39447.0,372.91,1018.37
video,200.0,25,640,384,5001.219766827171,0.2458,26474.0,378.08,1125.63
video,341.7,25,640,329,8542.274448240361,0.2106,20971.0,759.52,1805.72
video,513.6,25,160,145,12839.1673208578,0.0232,11541.0,814.89,2723.27
video,53.1,24,1280,724,1274.4102633667073,0.9267,30013.0,134.83,342.48
video,91.9,30,854,823,2757.1796230411933,0.7028,9336.0,217.36,625.44
video,569.2,15,1920,1595,8537.483821516531,3.0624,39642.0,1121.99,3372.8
video,394.8,15,854,847,5922.451885419062,0.7233,28475.0,845.23,1792.97
video,156.4,60,640,427,9382.013845979443,0.2733,709.0,301.34,828.29
video,453.8,15,1280,673,6806.431937859023,0.8614,4906.0,864.17,2287.25
video,352.3,25,160,119,8806.363134575544,0.019,38317.0,560.87,1896.52
video,263.8,15,3840,2686,3957.145015149139,10.3142,46983.0,692.3,1776.92
video,384.4,30,320,303,11531.921763989323,0.097,24641.0,801.18,1913.8
video,473.4,30,7680,5635,14201.881347079605,43.2768,15281.0,1991.9,4278.52
video,250.4,60,320,225,15023.17647087742,0.072,18393.0,503.67,1207.33
video,178.2,30,1920,1123,5344.722026068659,2.1562,49393.0,423.93,958.74
video,64.3,60,7680,6731,3856.4256612502395,51.6941,20539.0,3462.67,4150.96
video,451.9,30,7680,7127,13557.695018068847,54.7354,3913.0,2305.11,5523.58
video,273.7,60,3840,1963,16421.501244969397,7.5379,31828.0,853.9,1952.96
video,551.5,15,1920,1248,8272.336459054231,2.3962,13755.0,1144.53,2527.37
video,363.7,15,320,294,5455.288844028857,0.0941,3327.0,590.69,2093.52
video,443.4,15,160,141,6651.467727444653,0.0226,31796.0,1013.69,2013.74
video,488.1,15,1920,1479,7321.885299850577,2.8397,46487.0,1041.82,2736.37
video,520.6,24,854,766,12493.908833261412,0.6542,38788.0,1039.83,3053.21
video,103.6,60,320,255,6216.364795183767,0.0816,39919.0,230.23,567.68
video,449.9,15,854,752,6748.120269671534,0.6422,5051.0,957.62,2840.39
video,484.9,15,640,445,7274.024991854655,0.2848,28273.0,884.3,2406.59
video,109.6,25,160,150,2740.040206307152,0.024,14769.0,230.74,545.8
video,389.3,25,160,84,9732.982085640007,0.0134,18048.0,810.25,1970.4
video,460.3,15,3840,2716,6904.863969489293,10.4294,38911.0,944.13,2840.24
video,379.5,60,7680,5666,22772.946553158676,43.5149,9567.0,3465.26,5461.25
video,311.3,30,7680,7241,9339.50911744962,55.6109,29263.0,2119.49,5493.4
video,599.1,60,854,846,35948.117425007425,0.7225,8291.0,1176.05,3017.87
video,64.1,24,1280,1030,1539.0151110195377,1.3184,7243.0,186.53,432.5
video,398.2,24,160,110,9557.501388109016,0.0176,49761.0,988.72,1425.05
video,307.9,60,1280,830,18471.52808552819,1.0624,36338.0,677.49,1563.25
video,109.2,25,3840,1958,2728.844621618309,7.5187,13048.0,399.8,1066.52
video,168.2,15,854,728,2523.402728228862,0.6217,8146.0,377.36,836.4
video,84.9,25,1920,1327,2122.8927761746463,2.5478,36137.0,262.82,759.84
video,68.9,30,640,467,2068.212922145283,0.2989,9018.0,135.99,424.64
video,515.6,25,7680,4909,12889.672331030823,37.7011,40485.0,1715.23,5506.65
video,395.2,60,854,814,23714.550421757718,0.6952,39889.0,859.46,1742.11
video,339.0,24,1280,915,8136.070162746553,1.1712,21086.0,724.26,1980.7
video,341.0,30,1920,1018,10231.044421649753,1.9546,3663.0,660.6,1746.36
video,308.3,30,160,147,9248.944355172556,0.0235,5448.0,536.39,1772.5
video,161.1,30,3840,2422,4832.825684266678,9.3005,25532.0,581.4,1375.08
video,396.1,24,1920,1424,9507.183419851533,2.7341,7214.0,885.1,1982.04
video,498.5,30,320,276,14954.462441105012,0.0883,10806.0,1023.29,1886.13
video,378.1,30,854,470,11341.723131828136,0.4014,22800.0,978.6,1968.13
video,92.2,15,320,296,1383.6897627495655,0.0947,1738.0,191.45,449.94
video,306.2,60,3840,3404,18373.762127435493,13.0714,26369.0,1181.38,2445.66
video,505.4,30,7680,5779,15163.114259596165,44.3827,1894.0,2262.06,5747.84
video,44.9,15,1920,1400,672.8786724290692,2.688,49101.0,131.36,483.42
video,434.1,25,854,845,10852.348275554794,0.7216,931.0,785.54,2238.62
video,148.0,60,160,159,8877.245343038328,0.0254,26246.0,336.93,790.18
video,63.4,15,1920,1722,950.5792434432551,3.3062,1649.0,147.71,484.86
video,91.5,60,640,438,5491.396153955337,0.2803,6212.0,232.25,374.05
video,541.1,30,320,297,16234.389676801653,0.095,19620.0,1120.03,2562.67
video,147.0,24,3840,2571,3528.8054546522235,9.8726,24163.0,569.48,1427.23
video,169.2,30,3840,2716,5074.952141921899,10.4294,27821.0,555.13,1815.8
video,270.6,25,854,710,6764.227214459654,0.6063,39072.0,580.49,1378.95
video,16.4,30,320,271,490.90405818538335,0.0867,15199.0,41.14,103.57
video,228.0,60,1280,1110,13679.688698981165,1.4208,27148.0,517.85,1385.86
video,186.4,60,160,80,11183.858727034025,0.0128,5428.0,318.1,906.71
video,125.7,15,1280,662,1885.3457912743288,0.8474,20915.0,232.05,819.22
video,10.6,60,7680,4942,633.5479309457039,37.9546,33501.0,2091.22,2104.02
video,279.5,60,320,200,16769.99255752865,0.064,28872.0,588.68,1360.72
video,318.3,24,640,491,7638.399536391347,0.3142,19541.0,634.14,1695.3
video,166.1,30,854,795,4983.89991320642,0.6789,11344.0,371.77,940.5
video,124.3,60,160,156,7458.627178681765,0.025,28100.0,269.64,734.3
video,156.3,60,1920,1912,9380.420261983007,3.671,6644.0,436.55,1164.65
video,472.2,60,3840,3024,28333.342714461545,11.6122,47059.0,1273.25,3462.9
video,31.7,30,3840,2593,951.6449156528392,9.9571,15055.0,328.26,955.59
video,550.4,60,320,221,33023.25489102468,0.0707,13279.0,863.16,2822.6
video,587.1,30,3840,2423,17613.833281675765,9.3043,43394.0,1551.06,3539.69
video,486.3,25,1280,1018,12158.370978162462,1.303,27146.0,976.36,2259.1
video,380.6,60,320,316,22835.448193078497,0.1011,32252.0,792.55,2119.55
video,251.4,25,7680,6858,6286.060387975325,52.6694,8183.0,1667.31,4345.21
video,418.1,15,854,833,6271.489184685414,0.7114,10541.0,800.0,2640.95
video,506.9,30,320,277,15207.100572195768,0.0886,9650.0,1093.46,2292.78
video,545.4,60,160,99,32723.51774667043,0.0158,39872.0,955.55,3004.14
video,425.7,30,320,303,12769.772480062815,0.097,28478.0,739.08,2009.84
video,597.9,30,160,80,17936.301764860433,0.0128,5526.0,1265.77,3606.33
video,571.1,30,160,84,17132.58864086371,0.0134,12836.0,1186.83,3190.0
video,123.5,15,854,564,1852.1535441308822,0.4817,6360.0,263.04,659.81
video,314.8,24,160,104,7556.321626385716,0.0166,177.0,610.21,1475.91
video,52.4,24,1920,1574,1257.450999535359,3.0221,30889.0,141.68,488.31
video,104.0,24,1920,1804,2496.0844441187646,3.4637,6706.0,303.77,665.88
video,536.9,30,7680,7344,16108.239931774742,56.4019,31113.0,2463.06,6702.63
video,327.0,15,854,712,4905.4579864693205,0.608,6496.0,596.82,1928.24
video,239.3,25,160,154,5983.624854211184,0.0246,24376.0,562.87,1043.88
video,263.3,15,1920,1739,3949.9608439740855,3.3389,13975.0,542.77,1555.9
video,327.0,24,320,265,7849.081868355928,0.0848,22080.0,665.0,1908.75
video,182.2,24,160,154,4373.055593371177,0.0246,4472.0,401.95,862.11
video,8.5,30,854,643,253.61408339658604,0.5491,17232.0,36.58,92.29
video,126.8,15,3840,2570,1901.7434085320115,9.8688,4462.0,413.49,1524.1
video,100.8,24,160,101,2420.111845103112,0.0162,6480.0,202.68,527.11
video,517.5,30,640,510,15526.431630906629,0.3264,28205.0,714.69,2986.84
video,571.9,24,7680,5376,13726.622054234653,41.2877,22664.0,2022.16,6197.77
video,568.4,24,7680,6104,13641.831504574257,46.8787,4501.0,2386.54,5501.33
video,20.0,25,3840,1940,500.40965804867403,7.4496,39778.0,242.05,624.38
video,52.8,60,640,610,3167.7187577275663,0.3904,46688.0,143.22,280.6
video,336.7,25,3840,2266,8417.20634907212,8.7014,2992.0,811.31,1936.0
video,342.2,30,1920,1108,10265.535133655683,2.1274,25672.0,645.01,2058.61
video,348.1,24,1280,1084,8353.579941739954,1.3875,27782.0,806.29,2174.09
video,469.6,60,640,347,28176.674256779985,0.2221,22488.0,970.49,2468.89
video,59.0,30,7680,6761,1769.1151972385426,51.9245,42215.0,1394.97,3820.06
video,141.7,24,160,142,3401.7795384812252,0.0227,47452.0,299.93,745.94
video,551.1,25,854,625,13778.593886254212,0.5337,24488.0,1131.02,2476.2
video,156.6,24,3840,2269,3758.7010176111403,8.713,26981.0,559.03,1419.6
video,592.6,24,320,206,14221.783098063725,0.0659,49198.0,1074.67,2665.37
video,128.9,25,160,119,3222.7517661199117,0.019,147.0,272.0,725.64
video,333.0,30,160,141,9988.92330574967,0.0226,45908.0,602.33,1734.53
video,32.4,15,160,125,486.4727441244643,0.02,15313.0,52.98,170.33
video,98.7,15,3840,2396,1480.282505429735,9.2006,24750.0,396.24,1142.37
